Month,Store,Metric,Amount
Apr 24,DLF,Utility Cost,0.0
Apr 24,DLF,CAM,0.0
Apr 24,DLF,Aggregator commission,
Apr 24,DLF,Marketing & advertisement,0.0
Apr 24,DLF,Other opex expenses,0.0
Apr 24,MAN,Gross Sales,2327862.0
Apr 24,MAN,Net Sales,2260838.32
Apr 24,MAN,COGS (food +packaging),838665.7453365991
Apr 24,MAN,Gross margin,1422172.574663401
Apr 24,MAN,store Labor Cost,307769.039
Apr 24,MAN,Utility Cost,99764.0
Apr 24,MAN,CAM,0.0
Apr 24,MAN,Aggregator commission,205851.54
Apr 24,MAN,Marketing & advertisement,53055.98
Apr 24,MAN,Other opex expenses,98414.15899999999
Apr 24,ECW-old,Gross Sales,2855869.0
Apr 24,ECW-old,Net Sales,2844267.92
Apr 24,ECW-old,COGS (food +packaging),980695.8263444861
Apr 24,ECW-old,Gross margin,1863572.093655514
Apr 24,ECW-old,store Labor Cost,308182.819
Apr 24,ECW-old,Utility Cost,108047.0
Apr 24,ECW-old,CAM,20355.0
Apr 24,ECW-old,Aggregator commission,463169.74
Apr 24,ECW-old,Marketing & advertisement,38227.65
Apr 24,ECW-old,Other opex expenses,116349.3740000001
Apr 24,MTP,Gross Sales,859810.0
Apr 24,MTP,Net Sales,818866.64
Apr 24,MTP,COGS (food +packaging),361448.296013376
Apr 24,MTP,Gross margin,457418.343986624
Apr 24,MTP,store Labor Cost,211165.4744
Apr 24,MTP,Utility Cost,79326.0
Apr 24,MTP,CAM,0.0
Apr 24,MTP,Aggregator commission,0.0
Apr 24,MTP,Marketing & advertisement,5150.11
Apr 24,MTP,Other opex expenses,84870.03400000001
Apr 24,ETV,Gross Sales,
Apr 24,ETV,Net Sales,
Apr 24,ETV,COGS (food +packaging),0.0
Apr 24,ETV,Gross margin,0.0
Apr 24,ETV,store Labor Cost,0.0
Apr 24,ETV,Utility Cost,0.0
Apr 24,ETV,CAM,0.0
Apr 24,ETV,Aggregator commission,
Apr 24,ETV,Marketing & advertisement,0.0
Apr 24,ETV,Other opex expenses,0.0
Apr 24,VIR,Gross Sales,2827729.88
Apr 24,VIR,Net Sales,2772206.86
Apr 24,VIR,COGS (food +packaging),952545.0703808938
Apr 24,VIR,Gross margin,1819661.789619106
Apr 24,VIR,store Labor Cost,320827.7138
Apr 24,VIR,Utility Cost,129334.0
Apr 24,VIR,CAM,29500.0
Apr 24,VIR,Aggregator commission,501927.8
Apr 24,VIR,Marketing & advertisement,48569.91
Apr 24,VIR,Other opex expenses,131515.6572000003
Apr 24,Tecno,Gross Sales,
Apr 24,Tecno,Net Sales,
Apr 24,Tecno,COGS (food +packaging),0.0
Apr 24,Tecno,Gross margin,0.0
Apr 24,Tecno,store Labor Cost,0.0
Apr 24,Tecno,Utility Cost,0.0
Apr 24,Tecno,CAM,0.0
Apr 24,Tecno,Aggregator commission,0.0
Apr 24,Tecno,Marketing & advertisement,0.0
Apr 24,Tecno,Other opex expenses,0.0
Apr 24,ARK,Gross Sales,4971361.0
Apr 24,ARK,Net Sales,4905395.38
Apr 24,ARK,COGS (food +packaging),1719653.591644202
Apr 24,ARK,Gross margin,3185741.788355798
Apr 24,ARK,store Labor Cost,389051.26376
Apr 24,ARK,Utility Cost,177642.0
Apr 24,ARK,CAM,0.0
Apr 24,ARK,Aggregator commission,798756.62
Apr 24,ARK,Marketing & advertisement,31795.19
Apr 24,ARK,Other opex expenses,162623.541
Apr 24,SIG,Gross Sales,
Apr 24,SIG,Net Sales,
Apr 24,SIG,COGS (food +packaging),0.0
Apr 24,SIG,Gross margin,0.0
Apr 24,SIG,store Labor Cost,0.0
Apr 24,SIG,Utility Cost,0.0
Apr 24,SIG,CAM,0.0
Apr 24,SIG,Aggregator commission,
Apr 24,SIG,Marketing & advertisement,0.0
Apr 24,SIG,Other opex expenses,0.0
Apr 24,HSR,Gross Sales,7270848.0
Apr 24,HSR,Net Sales,7180316.46
Apr 24,HSR,COGS (food +packaging),2475416.274708984
Apr 24,HSR,Gross margin,4704900.185291016
Apr 24,HSR,store Labor Cost,607595.30633
Apr 24,HSR,Utility Cost,236561.0
Apr 24,HSR,CAM,0.0
Apr 24,HSR,Aggregator commission,1193811.73
Apr 24,HSR,Marketing & advertisement,42989.15
Apr 24,HSR,Other opex expenses,203836.0669999996
Apr 24,CVR,Gross Sales,982453.0
Apr 24,CVR,Net Sales,935669.52
Apr 24,CVR,COGS (food +packaging),332968.1602418434
Apr 24,CVR,Gross margin,602701.3597581566
Apr 24,CVR,store Labor Cost,257222.6989
Apr 24,CVR,Utility Cost,87530.0
Apr 24,CVR,CAM,29500.0
Apr 24,CVR,Aggregator commission,0.0
Apr 24,CVR,Marketing & advertisement,5121.08
Apr 24,CVR,Other opex expenses,96908.65599999993
Apr 24,SJP,Gross Sales,
Apr 24,SJP,Net Sales,
Apr 24,SJP,COGS (food +packaging),0.0
Apr 24,SJP,Gross margin,0.0
Apr 24,SJP,store Labor Cost,0.0
Apr 24,SJP,Utility Cost,0.0
Apr 24,SJP,CAM,0.0
Apr 24,SJP,Aggregator commission,0.0
Apr 24,SJP,Marketing & advertisement,0.0
Apr 24,SJP,Other opex expenses,0.0
Apr 24,ORW,Gross Sales,3009394.0
Apr 24,ORW,Net Sales,2903646.54
Apr 24,ORW,COGS (food +packaging),1098172.603871573
Apr 24,ORW,Gross margin,1805473.936128427
Apr 24,ORW,store Labor Cost,325779.604
Apr 24,ORW,Utility Cost,97506.0
Apr 24,ORW,CAM,107617.0
Apr 24,ORW,Aggregator commission,172266.5
Apr 24,ORW,Marketing & advertisement,397400.69
Apr 24,ORW,Other opex expenses,109175.6825000002
Apr 24,EST,Gross Sales,3241224.0
Apr 24,EST,Net Sales,3205007.0
Apr 24,EST,COGS (food +packaging),1114577.044441146
Apr 24,EST,Gross margin,2090429.955558854
Apr 24,EST,store Labor Cost,343870.067994
Apr 24,EST,Utility Cost,162405.0
Apr 24,EST,CAM,37881.0
Apr 24,EST,Aggregator commission,558984.4
Apr 24,EST,Marketing & advertisement,42735.24
Apr 24,EST,Other opex expenses,108155.4260000001
Apr 24,ORE,Gross Sales,
Apr 24,ORE,Net Sales,
Apr 24,ORE,COGS (food +packaging),0.0
Apr 24,ORE,Gross margin,0.0
Apr 24,ORE,store Labor Cost,0.0
Apr 24,ORE,Utility Cost,0.0
Apr 24,ORE,CAM,0.0
Apr 24,ORE,Aggregator commission,
Apr 24,ORE,Marketing & advertisement,0.0
Apr 24,ORE,Other opex expenses,0.0
Apr 24,AUR,Gross Sales,
Apr 24,AUR,Net Sales,
Apr 24,AUR,COGS (food +packaging),0.0
Apr 24,AUR,Gross margin,0.0
Apr 24,AUR,store Labor Cost,0.0
Apr 24,AUR,Utility Cost,0.0
Apr 24,AUR,CAM,0.0
Apr 24,AUR,Aggregator commission,
Apr 24,AUR,Marketing & advertisement,0.0
Apr 24,AUR,Other opex expenses,0.0
Apr 24,JPN,Gross Sales,4774078.0
Apr 24,JPN,Net Sales,4702374.19
Apr 24,JPN,COGS (food +packaging),1842199.83936072
Apr 24,JPN,Gross margin,2860174.35063928
Apr 24,JPN,store Labor Cost,513283.571292
Apr 24,JPN,Utility Cost,195620.0
Apr 24,JPN,CAM,0.0
Apr 24,JPN,Aggregator commission,723813.9
Apr 24,JPN,Marketing & advertisement,90373.71
Apr 24,JPN,Other opex expenses,186854.7155
Apr 24,JPC,Gross Sales,
Apr 24,JPC,Net Sales,
Apr 24,JPC,COGS (food +packaging),0.0
Apr 24,JPC,Gross margin,0.0
Apr 24,JPC,store Labor Cost,0.0
Apr 24,JPC,Utility Cost,0.0
Apr 24,JPC,CAM,0.0
Apr 24,JPC,Aggregator commission,
Apr 24,JPC,Marketing & advertisement,0.0
Apr 24,JPC,Other opex expenses,0.0
Apr 24,PTP,Gross Sales,
Apr 24,PTP,Net Sales,
Apr 24,PTP,COGS (food +packaging),0.0
Apr 24,PTP,Gross margin,0.0
Apr 24,PTP,store Labor Cost,0.0
Apr 24,PTP,Utility Cost,0.0
Apr 24,PTP,CAM,0.0
Apr 24,PTP,Aggregator commission,
Apr 24,PTP,Marketing & advertisement,0.0
Apr 24,PTP,Other opex expenses,0.0
Apr 24,SEC,Gross Sales,
Apr 24,SEC,Net Sales,
Apr 24,SEC,COGS (food +packaging),0.0
Apr 24,SEC,Gross margin,0.0
Apr 24,SEC,store Labor Cost,0.0
Apr 24,SEC,Utility Cost,0.0
Apr 24,SEC,CAM,0.0
Apr 24,SEC,Aggregator commission,
Apr 24,SEC,Marketing & advertisement,0.0
Apr 24,SEC,Other opex expenses,0.0
Apr 24,SYH,Gross Sales,4384419.0
Apr 24,SYH,Net Sales,4343106.62
Apr 24,SYH,COGS (food +packaging),1677366.498496685
Apr 24,SYH,Gross margin,2665740.121503315
Apr 24,SYH,store Labor Cost,463605.7138
Apr 24,SYH,Utility Cost,197157.0
Apr 24,SYH,CAM,0.0
Apr 24,SYH,Aggregator commission,792273.99
Apr 24,SYH,Marketing & advertisement,125355.27
Apr 24,SYH,Other opex expenses,185328.2340000003
Apr 24,ETF,Gross Sales,1959166.0
Apr 24,ETF,Net Sales,1865872.38
Apr 24,ETF,COGS (food +packaging),742930.549136698
Apr 24,ETF,Gross margin,1122941.830863302
Apr 24,ETF,store Labor Cost,272373.7779
Apr 24,ETF,Utility Cost,72975.0
Apr 24,ETF,CAM,0.0
Apr 24,ETF,Aggregator commission,0.0
Apr 24,ETF,Marketing & advertisement,2502.63
Apr 24,ETF,Other opex expenses,114899.6542
Apr 24,GSC,Gross Sales,1378887.0
Apr 24,GSC,Net Sales,1313197.14
Apr 24,GSC,COGS (food +packaging),487428.952874
Apr 24,GSC,Gross margin,825768.187126
Apr 24,GSC,store Labor Cost,288390.478
Apr 24,GSC,Utility Cost,0.0
Apr 24,GSC,CAM,0.0
Apr 24,GSC,Aggregator commission,0.0
Apr 24,GSC,Marketing & advertisement,2502.63
Apr 24,GSC,Other opex expenses,214996.2537
Apr 24,PRI,Gross Sales,
Apr 24,PRI,Net Sales,
Apr 24,PRI,COGS (food +packaging),0.0
Apr 24,PRI,Gross margin,0.0
Apr 24,PRI,store Labor Cost,0.0
Apr 24,PRI,Utility Cost,0.0
Apr 24,PRI,CAM,0.0
Apr 24,PRI,Aggregator commission,0.0
Apr 24,PRI,Marketing & advertisement,0.0
Apr 24,PRI,Other opex expenses,0.0
Apr 24,ECN,Gross Sales,2535128.0
Apr 24,ECN,Net Sales,2482697.72
Apr 24,ECN,COGS (food +packaging),806527.807801942
Apr 24,ECN,Gross margin,1676169.912198058
Apr 24,ECN,store Labor Cost,261687.41813
Apr 24,ECN,Utility Cost,118683.52
Apr 24,ECN,CAM,43365.0
Apr 24,ECN,Aggregator commission,306460.94
Apr 24,ECN,Marketing & advertisement,2945.63
Apr 24,ECN,Other opex expenses,116848.9615000002
Apr 24,RGA,Gross Sales,2457281.0
Apr 24,RGA,Net Sales,2431618.94
Apr 24,RGA,COGS (food +packaging),812990.3263773823
Apr 24,RGA,Gross margin,1618628.613622618
Apr 24,RGA,store Labor Cost,256201.091
Apr 24,RGA,Utility Cost,89831.0
Apr 24,RGA,CAM,26432.0
Apr 24,RGA,Aggregator commission,428456.72
Apr 24,RGA,Marketing & advertisement,9478.29
Apr 24,RGA,Other opex expenses,110669.3100000001
Apr 24,KNP,Gross Sales,2145335.0
Apr 24,KNP,Net Sales,2108804.0
Apr 24,KNP,COGS (food +packaging),806341.2304173051
Apr 24,KNP,Gross margin,1302462.769582695
Apr 24,KNP,store Labor Cost,277641.0543
Apr 24,KNP,Utility Cost,102200.0
Apr 24,KNP,CAM,
Apr 24,KNP,Aggregator commission,309239.02
Apr 24,KNP,Marketing & advertisement,182532.39
Apr 24,KNP,Other opex expenses,155948.6095
Apr 24,KCK,Gross Sales,4257638.0
Apr 24,KCK,Net Sales,4257523.06
Apr 24,KCK,COGS (food +packaging),1461252.847758809
Apr 24,KCK,Gross margin,2796270.212241191
Apr 24,KCK,store Labor Cost,381939.407134
Apr 24,KCK,Utility Cost,160268.0
Apr 24,KCK,CAM,0.0
Apr 24,KCK,Aggregator commission,962358.39
Apr 24,KCK,Marketing & advertisement,85415.98
Apr 24,KCK,Other opex expenses,163935.9660000001
Apr 24,BVG,Gross Sales,3215484.0
Apr 24,BVG,Net Sales,3152734.66
Apr 24,BVG,COGS (food +packaging),1173856.722479184
Apr 24,BVG,Gross margin,1978877.937520816
Apr 24,BVG,store Labor Cost,345208.3211
Apr 24,BVG,Utility Cost,133979.0
Apr 24,BVG,CAM,11800.0
Apr 24,BVG,Aggregator commission,424222.75
Apr 24,BVG,Marketing & advertisement,34912.54
Apr 24,BVG,Other opex expenses,153965.171
Apr 24,CLA,Gross Sales,2947830.0
Apr 24,CLA,Net Sales,2945285.0
Apr 24,CLA,COGS (food +packaging),1115099.369972846
Apr 24,CLA,Gross margin,1830185.630027154
Apr 24,CLA,store Labor Cost,357698.207
Apr 24,CLA,Utility Cost,116295.0
Apr 24,CLA,CAM,0.0
Apr 24,CLA,Aggregator commission,636714.42
Apr 24,CLA,Marketing & advertisement,157725.18
Apr 24,CLA,Other opex expenses,148458.9149999998
Apr 24,IBC,Gross Sales,1117747.0
Apr 24,IBC,Net Sales,1090329.84
Apr 24,IBC,COGS (food +packaging),405442.3607735906
Apr 24,IBC,Gross margin,684887.4792264095
Apr 24,IBC,store Labor Cost,237001.7138
Apr 24,IBC,Utility Cost,87000.0
Apr 24,IBC,CAM,0.0
Apr 24,IBC,Aggregator commission,119867.88
Apr 24,IBC,Marketing & advertisement,8931.99
Apr 24,IBC,Other opex expenses,89914.33849999998
Apr 24,BTG,Gross Sales,2081367.0
Apr 24,BTG,Net Sales,2049109.8
Apr 24,BTG,COGS (food +packaging),677878.436189216
Apr 24,BTG,Gross margin,1371231.363810784
Apr 24,BTG,store Labor Cost,310949.249
Apr 24,BTG,Utility Cost,0.0
Apr 24,BTG,CAM,26019.0
Apr 24,BTG,Aggregator commission,316612.59
Apr 24,BTG,Marketing & advertisement,17549.49
Apr 24,BTG,Other opex expenses,106189.6570000001
Apr 24,ECT,Gross Sales,3682962.0
Apr 24,ECT,Net Sales,3626152.8
Apr 24,ECT,COGS (food +packaging),1443724.737403505
Apr 24,ECT,Gross margin,2182428.062596495
Apr 24,ECT,store Labor Cost,479743.228
Apr 24,ECT,Utility Cost,163201.0
Apr 24,ECT,CAM,0.0
Apr 24,ECT,Aggregator commission,551058.5
Apr 24,ECT,Marketing & advertisement,119769.65
Apr 24,ECT,Other opex expenses,152317.1070000002
Apr 24,RRR,Gross Sales,2422034.0
Apr 24,RRR,Net Sales,2376036.55
Apr 24,RRR,COGS (food +packaging),924070.8545802591
Apr 24,RRR,Gross margin,1451965.695419741
Apr 24,RRR,store Labor Cost,345796.625
Apr 24,RRR,Utility Cost,105034.0
Apr 24,RRR,CAM,44132.0
Apr 24,RRR,Aggregator commission,322918.98
Apr 24,RRR,Marketing & advertisement,59438.54
Apr 24,RRR,Other opex expenses,119187.6280000002
Apr 24,SHV,Gross Sales,2818040.0
Apr 24,SHV,Net Sales,2776440.18
Apr 24,SHV,COGS (food +packaging),1049898.048396692
Apr 24,SHV,Gross margin,1726542.131603308
Apr 24,SHV,store Labor Cost,313584.514
Apr 24,SHV,Utility Cost,114200.0
Apr 24,SHV,CAM,14750.0
Apr 24,SHV,Aggregator commission,439533.98
Apr 24,SHV,Marketing & advertisement,114936.62
Apr 24,SHV,Other opex expenses,111975.045
Apr 24,DCB,Gross Sales,738611.0
Apr 24,DCB,Net Sales,738611.0
Apr 24,DCB,COGS (food +packaging),268542.155121
Apr 24,DCB,Gross margin,470068.844879
Apr 24,DCB,store Labor Cost,187442.69
Apr 24,DCB,Utility Cost,0.0
Apr 24,DCB,CAM,0.0
Apr 24,DCB,Aggregator commission,0.0
Apr 24,DCB,Marketing & advertisement,2478.59
Apr 24,DCB,Other opex expenses,115935.24
Apr 24,VBP,Gross Sales,4907413.0
Apr 24,VBP,Net Sales,4839547.38
Apr 24,VBP,COGS (food +packaging),1844145.413012761
Apr 24,VBP,Gross margin,2995401.966987238
Apr 24,VBP,store Labor Cost,400214.6119320136
Apr 24,VBP,Utility Cost,104981.84
Apr 24,VBP,CAM,46733.22
Apr 24,VBP,Aggregator commission,765246.77
Apr 24,VBP,Marketing & advertisement,122522.18
Apr 24,VBP,Other opex expenses,159264.418633449
Apr 24,ADM,Gross Sales,6680719.0
Apr 24,ADM,Net Sales,6628782.32
Apr 24,ADM,COGS (food +packaging),2489265.23466747
Apr 24,ADM,Gross margin,4139517.085332531
Apr 24,ADM,store Labor Cost,691294.7823194375
Apr 24,ADM,Utility Cost,137452.0
Apr 24,ADM,CAM,114166.0
Apr 24,ADM,Aggregator commission,1226958.65
Apr 24,ADM,Marketing & advertisement,66995.38
Apr 24,ADM,Other opex expenses,233227.2351087563
Apr 24,SFC,Gross Sales,4510955.0
Apr 24,SFC,Net Sales,4510432.7
Apr 24,SFC,COGS (food +packaging),1677714.494449287
Apr 24,SFC,Gross margin,2832718.205550713
Apr 24,SFC,store Labor Cost,352380.0114358334
Apr 24,SFC,Utility Cost,64440.0
Apr 24,SFC,CAM,5778.0
Apr 24,SFC,Aggregator commission,994096.75
Apr 24,SFC,Marketing & advertisement,125704.67
Apr 24,SFC,Other opex expenses,159092.1320481837
Apr 24,SCK,Gross Sales,4367565.0
Apr 24,SCK,Net Sales,4367180.54
Apr 24,SCK,COGS (food +packaging),1707639.086433589
Apr 24,SCK,Gross margin,2659541.453566411
Apr 24,SCK,store Labor Cost,295516.5099434794
Apr 24,SCK,Utility Cost,131009.0
Apr 24,SCK,CAM,0.0
Apr 24,SCK,Aggregator commission,953992.07
Apr 24,SCK,Marketing & advertisement,148743.53
Apr 24,SCK,Other opex expenses,128900.1138031265
Apr 24,SES,Gross Sales,2600071.0
Apr 24,SES,Net Sales,2599885.28
Apr 24,SES,COGS (food +packaging),1045254.862534977
Apr 24,SES,Gross margin,1554630.417465023
Apr 24,SES,store Labor Cost,344127.7186925
Apr 24,SES,Utility Cost,91920.0
Apr 24,SES,CAM,0.0
Apr 24,SES,Aggregator commission,562402.38
Apr 24,SES,Marketing & advertisement,180771.6
Apr 24,SES,Other opex expenses,123567.9357556328
Apr 24,JIG,Gross Sales,4287206.0
Apr 24,JIG,Net Sales,4258045.98
Apr 24,JIG,COGS (food +packaging),1743275.004758282
Apr 24,JIG,Gross margin,2514770.975241719
Apr 24,JIG,store Labor Cost,397723.3863394746
Apr 24,JIG,Utility Cost,180760.0
Apr 24,JIG,CAM,8650.0
Apr 24,JIG,Aggregator commission,793418.87
Apr 24,JIG,Marketing & advertisement,147982.48
Apr 24,JIG,Other opex expenses,145499.8846870146
Apr 24,GCN,Gross Sales,2966650.0
Apr 24,GCN,Net Sales,2935339.42
Apr 24,GCN,COGS (food +packaging),1274264.27385356
Apr 24,GCN,Gross margin,1661075.146146439
Apr 24,GCN,store Labor Cost,366475.1423394746
Apr 24,GCN,Utility Cost,115412.0
Apr 24,GCN,CAM,69384.0
Apr 24,GCN,Aggregator commission,494251.94
Apr 24,GCN,Marketing & advertisement,144400.43
Apr 24,GCN,Other opex expenses,147661.7480233986
Apr 24,ANN,Gross Sales,3461153.0
Apr 24,ANN,Net Sales,3403505.04
Apr 24,ANN,COGS (food +packaging),1256636.151743086
Apr 24,ANN,Gross margin,2146868.888256914
Apr 24,ANN,store Labor Cost,394281.6157142799
Apr 24,ANN,Utility Cost,131708.0
Apr 24,ANN,CAM,86146.0
Apr 24,ANN,Aggregator commission,493075.84
Apr 24,ANN,Marketing & advertisement,161971.47
Apr 24,ANN,Other opex expenses,179091.3792696574
Apr 24,SKO,Gross Sales,4084457.0
Apr 24,SKO,Net Sales,4025982.48
Apr 24,SKO,COGS (food +packaging),1501932.852666297
Apr 24,SKO,Gross margin,2524049.627333703
Apr 24,SKO,store Labor Cost,401912.0124289493
Apr 24,SKO,Utility Cost,163324.0
Apr 24,SKO,CAM,103002.0
Apr 24,SKO,Aggregator commission,627724.94
Apr 24,SKO,Marketing & advertisement,187556.87
Apr 24,SKO,Other opex expenses,200684.248121316
Apr 24,JAP,Gross Sales,2266685.0
Apr 24,JAP,Net Sales,2266456.7
Apr 24,JAP,COGS (food +packaging),937760.1531529799
Apr 24,JAP,Gross margin,1328696.54684702
Apr 24,JAP,store Labor Cost,269958.8776535598
Apr 24,JAP,Utility Cost,118527.0
Apr 24,JAP,CAM,0.0
Apr 24,JAP,Aggregator commission,498285.38
Apr 24,JAP,Marketing & advertisement,199704.07
Apr 24,JAP,Other opex expenses,143868.0989248635
Apr 24,DWR,Gross Sales,2624628.0
Apr 24,DWR,Net Sales,2624512.72
Apr 24,DWR,COGS (food +packaging),1046031.487707803
Apr 24,DWR,Gross margin,1578481.232292197
Apr 24,DWR,store Labor Cost,282769.7339933877
Apr 24,DWR,Utility Cost,85569.0
Apr 24,DWR,CAM,0.0
Apr 24,DWR,Aggregator commission,571878.52
Apr 24,DWR,Marketing & advertisement,193917.4
Apr 24,DWR,Other opex expenses,145835.4487239702
Apr 24,AVK,Gross Sales,2468749.0
Apr 24,AVK,Net Sales,2434901.38
Apr 24,AVK,COGS (food +packaging),982701.1375118181
Apr 24,AVK,Gross margin,1452200.242488182
Apr 24,AVK,store Labor Cost,411160.2075832971
Apr 24,AVK,Utility Cost,84105.0
Apr 24,AVK,CAM,75905.0
Apr 24,AVK,Aggregator commission,386397.95
Apr 24,AVK,Marketing & advertisement,187276.28
Apr 24,AVK,Other opex expenses,103334.6258483872
Apr 24,CYG,Gross Sales,2464116.0
Apr 24,CYG,Net Sales,2416855.92
Apr 24,CYG,COGS (food +packaging),763194.6714234952
Apr 24,CYG,Gross margin,1653661.248576505
Apr 24,CYG,store Labor Cost,258028.5140130344
Apr 24,CYG,Utility Cost,69777.16
Apr 24,CYG,CAM,89367.3
Apr 24,CYG,Aggregator commission,322135.98
Apr 24,CYG,Marketing & advertisement,27910.74
Apr 24,CYG,Other opex expenses,126186.3609898115
Apr 24,NSS,Gross Sales,3149897.0
Apr 24,NSS,Net Sales,3149863.76
Apr 24,NSS,COGS (food +packaging),1217641.712373573
Apr 24,NSS,Gross margin,1932222.047626427
Apr 24,NSS,store Labor Cost,298227.6265836232
Apr 24,NSS,Utility Cost,112617.0
Apr 24,NSS,CAM,0.0
Apr 24,NSS,Aggregator commission,698265.9
Apr 24,NSS,Marketing & advertisement,152609.36
Apr 24,NSS,Other opex expenses,153033.0098456349
Apr 24,GEB,Gross Sales,2841604.0
Apr 24,GEB,Net Sales,2815372.22
Apr 24,GEB,COGS (food +packaging),1091372.599672211
Apr 24,GEB,Gross margin,1723999.620327789
Apr 24,GEB,store Labor Cost,383887.9158335417
Apr 24,GEB,Utility Cost,180704.82
Apr 24,GEB,CAM,56304.88
Apr 24,GEB,Aggregator commission,497607.42
Apr 24,GEB,Marketing & advertisement,186468.53
Apr 24,GEB,Other opex expenses,149951.4590072258
Apr 24,ROH,Gross Sales,2081147.0
Apr 24,ROH,Net Sales,2081147.0
Apr 24,ROH,COGS (food +packaging),842920.7493665693
Apr 24,ROH,Gross margin,1238226.250633431
Apr 24,ROH,store Labor Cost,328062.5074297373
Apr 24,ROH,Utility Cost,114410.0
Apr 24,ROH,CAM,0.0
Apr 24,ROH,Aggregator commission,460867.29
Apr 24,ROH,Marketing & advertisement,202194.96
