Month,Metric,Store,Amount
Apr 2024,Total outlet expenses,ITPL,26.9
Apr 2024,Outlet EBITDA,ITPL,13.6
May 2024,Gross Sales,ITPL,65.6
May 2024,GST,ITPL,1.3
May 2024,Net Sales,ITPL,64.3
May 2024,COGS (food +packaging),ITPL,25.8
May 2024,Gross margin,ITPL,38.5
May 2024,store Labor Cost,ITPL,5.5
May 2024,Utility Cost,ITPL,1.7
May 2024,Rent ,ITPL,6.3
May 2024,CAM,ITPL,0.0
May 2024,Aggregator commission,ITPL,9.4
May 2024,Marketing & advertisement,ITPL,1.2
May 2024,Other opex expenses,ITPL,2.2
May 2024,Total outlet expenses,ITPL,26.3
May 2024,Outlet EBITDA,ITPL,12.1
Jun 2024,Gross Sales,ITPL,64.8
Jun 2024,GST,ITPL,1.2
Jun 2024,Net Sales,ITPL,63.6
Jun 2024,COGS (food +packaging),ITPL,25.7
Jun 2024,Gross margin,ITPL,37.8
Jun 2024,store Labor Cost,ITPL,7.0
Jun 2024,Utility Cost,ITPL,1.6
Jun 2024,Rent ,ITPL,6.2
Jun 2024,CAM,ITPL,0.0
Jun 2024,Aggregator commission,ITPL,9.0
Jun 2024,Marketing & advertisement,ITPL,0.7
Jun 2024,Other opex expenses,ITPL,2.0
Jun 2024,Total outlet expenses,ITPL,26.5
Jun 2024,Outlet EBITDA,ITPL,11.3
Jul 2024,Gross Sales,ITPL,66.3
Jul 2024,GST,ITPL,1.3
Jul 2024,Net Sales,ITPL,65.0
Jul 2024,COGS (food +packaging),ITPL,26.7
Jul 2024,Gross margin,ITPL,38.3
Jul 2024,store Labor Cost,ITPL,6.6
Jul 2024,Utility Cost,ITPL,1.7
Jul 2024,Rent ,ITPL,6.4
Jul 2024,CAM,ITPL,0.0
Jul 2024,Aggregator commission,ITPL,9.1
Jul 2024,Marketing & advertisement,ITPL,1.3
Jul 2024,Other opex expenses,ITPL,2.2
Jul 2024,Total outlet expenses,ITPL,27.3
Jul 2024,Outlet EBITDA,ITPL,11.1
Aug 2024,Gross Sales,ITPL,62.6
Aug 2024,GST,ITPL,1.2
Aug 2024,Net Sales,ITPL,61.4
Aug 2024,COGS (food +packaging),ITPL,24.0
Aug 2024,Gross margin,ITPL,37.4
Aug 2024,store Labor Cost,ITPL,6.6
Aug 2024,Utility Cost,ITPL,1.6
Aug 2024,Rent ,ITPL,6.0
Aug 2024,CAM,ITPL,0.0
Aug 2024,Aggregator commission,ITPL,8.5
Aug 2024,Marketing & advertisement,ITPL,1.7
Aug 2024,Other opex expenses,ITPL,1.9
Aug 2024,Total outlet expenses,ITPL,26.4
Aug 2024,Outlet EBITDA,ITPL,11.0
May 2025,Gross Sales,ITPL,64.2
May 2025,GST,ITPL,1.4
May 2025,Net Sales,ITPL,62.8
May 2025,COGS (food +packaging),ITPL,24.7
May 2025,Gross margin,ITPL,38.1
May 2025,store Labor Cost,ITPL,7.2
May 2025,Utility Cost,ITPL,1.6
May 2025,Rent ,ITPL,6.4
May 2025,CAM,ITPL,0.0
May 2025,Aggregator commission,ITPL,7.9
May 2025,Marketing & advertisement,ITPL,2.1
May 2025,Other opex expenses,ITPL,2.2
May 2025,Total outlet expenses,ITPL,27.5
May 2025,Outlet EBITDA,ITPL,10.6
Apr 2024,Gross Sales,RMZ,17.0
Apr 2024,GST,RMZ,0.6
Apr 2024,Net Sales,RMZ,16.4
Apr 2024,COGS (food +packaging),RMZ,6.3
Apr 2024,Gross margin,RMZ,10.0
Apr 2024,store Labor Cost,RMZ,2.5
Apr 2024,Utility Cost,RMZ,0.5
Apr 2024,Rent ,RMZ,2.1
Apr 2024,CAM,RMZ,0.2
Apr 2024,Aggregator commission,RMZ,1.0
Apr 2024,Marketing & advertisement,RMZ,0.0
Apr 2024,Other opex expenses,RMZ,0.9
Apr 2024,Total outlet expenses,RMZ,7.3
Apr 2024,Outlet EBITDA,RMZ,2.7
May 2024,Gross Sales,RMZ,19.8
May 2024,GST,RMZ,0.7
May 2024,Net Sales,RMZ,19.1
May 2024,COGS (food +packaging),RMZ,7.5
May 2024,Gross margin,RMZ,11.6
May 2024,store Labor Cost,RMZ,3.0
May 2024,Utility Cost,RMZ,0.6
May 2024,Rent ,RMZ,2.5
May 2024,CAM,RMZ,0.2
May 2024,Aggregator commission,RMZ,0.9
May 2024,Marketing & advertisement,RMZ,0.1
May 2024,Other opex expenses,RMZ,1.3
May 2024,Total outlet expenses,RMZ,8.7
May 2024,Outlet EBITDA,RMZ,2.9
Jun 2024,Gross Sales,RMZ,17.2
Jun 2024,GST,RMZ,0.6
Jun 2024,Net Sales,RMZ,16.6
Jun 2024,COGS (food +packaging),RMZ,6.4
Jun 2024,Gross margin,RMZ,10.2
Jun 2024,store Labor Cost,RMZ,3.0
Jun 2024,Utility Cost,RMZ,0.6
Jun 2024,Rent ,RMZ,2.1
Jun 2024,CAM,RMZ,0.2
Jun 2024,Aggregator commission,RMZ,0.9
Jun 2024,Marketing & advertisement,RMZ,0.0
Jun 2024,Other opex expenses,RMZ,1.1
Jun 2024,Total outlet expenses,RMZ,7.9
Jun 2024,Outlet EBITDA,RMZ,2.3
Jul 2024,Gross Sales,RMZ,19.6
Jul 2024,GST,RMZ,0.7
Jul 2024,Net Sales,RMZ,18.9
Jul 2024,COGS (food +packaging),RMZ,7.1
Jul 2024,Gross margin,RMZ,11.8
Jul 2024,store Labor Cost,RMZ,3.3
Jul 2024,Utility Cost,RMZ,0.6
Jul 2024,Rent ,RMZ,2.5
Jul 2024,CAM,RMZ,0.2
Jul 2024,Aggregator commission,RMZ,1.0
Jul 2024,Marketing & advertisement,RMZ,0.1
Jul 2024,Other opex expenses,RMZ,1.3
Jul 2024,Total outlet expenses,RMZ,8.9
Jul 2024,Outlet EBITDA,RMZ,2.9
Aug 2024,Gross Sales,RMZ,19.0
Aug 2024,GST,RMZ,0.6
Aug 2024,Net Sales,RMZ,18.4
Aug 2024,COGS (food +packaging),RMZ,6.8
Aug 2024,Gross margin,RMZ,11.5
Aug 2024,store Labor Cost,RMZ,3.2
Aug 2024,Utility Cost,RMZ,0.6
Aug 2024,Rent ,RMZ,2.2
Aug 2024,CAM,RMZ,0.2
Aug 2024,Aggregator commission,RMZ,1.1
Aug 2024,Marketing & advertisement,RMZ,0.1
Aug 2024,Other opex expenses,RMZ,0.9
Aug 2024,Total outlet expenses,RMZ,8.4
Aug 2024,Outlet EBITDA,RMZ,3.2
May 2025,Gross Sales,RMZ,18.3
May 2025,GST,RMZ,0.6
May 2025,Net Sales,RMZ,17.8
May 2025,COGS (food +packaging),RMZ,6.3
May 2025,Gross margin,RMZ,11.5
May 2025,store Labor Cost,RMZ,3.7
May 2025,Utility Cost,RMZ,0.7
May 2025,Rent ,RMZ,2.1
May 2025,CAM,RMZ,0.2
May 2025,Aggregator commission,RMZ,1.3
May 2025,Marketing & advertisement,RMZ,0.2
May 2025,Other opex expenses,RMZ,1.5
May 2025,Total outlet expenses,RMZ,9.8
May 2025,Outlet EBITDA,RMZ,1.7
Apr 2024,Gross Sales,KOR,43.0
Apr 2024,GST,KOR,0.8
Apr 2024,Net Sales,KOR,42.2
Apr 2024,COGS (food +packaging),KOR,15.4
Apr 2024,Gross margin,KOR,26.7
Apr 2024,store Labor Cost,KOR,4.2
Apr 2024,Utility Cost,KOR,1.8
Apr 2024,Rent ,KOR,2.4
Apr 2024,CAM,KOR,0.0
Apr 2024,Aggregator commission,KOR,6.0
Apr 2024,Marketing & advertisement,KOR,1.0
Apr 2024,Other opex expenses,KOR,1.9
Apr 2024,Total outlet expenses,KOR,17.2
Apr 2024,Outlet EBITDA,KOR,9.6
May 2024,Gross Sales,KOR,45.1
May 2024,GST,KOR,0.7
May 2024,Net Sales,KOR,44.4
May 2024,COGS (food +packaging),KOR,15.8
May 2024,Gross margin,KOR,28.6
May 2024,store Labor Cost,KOR,4.5
May 2024,Utility Cost,KOR,2.0
May 2024,Rent ,KOR,2.4
May 2024,CAM,KOR,0.0
May 2024,Aggregator commission,KOR,6.7
May 2024,Marketing & advertisement,KOR,1.2
May 2024,Other opex expenses,KOR,2.0
May 2024,Total outlet expenses,KOR,18.7
May 2024,Outlet EBITDA,KOR,9.9
Jun 2024,Gross Sales,KOR,43.8
Jun 2024,GST,KOR,0.7
Jun 2024,Net Sales,KOR,43.1
Jun 2024,COGS (food +packaging),KOR,16.1
Jun 2024,Gross margin,KOR,27.0
Jun 2024,store Labor Cost,KOR,4.1
Jun 2024,Utility Cost,KOR,2.3
Jun 2024,Rent ,KOR,2.4
Jun 2024,CAM,KOR,0.0
Jun 2024,Aggregator commission,KOR,6.6
Jun 2024,Marketing & advertisement,KOR,1.5
Jun 2024,Other opex expenses,KOR,1.6
Jun 2024,Total outlet expenses,KOR,18.3
Jun 2024,Outlet EBITDA,KOR,8.6
Jul 2024,Gross Sales,KOR,47.3
Jul 2024,GST,KOR,0.7
Jul 2024,Net Sales,KOR,46.6
Jul 2024,COGS (food +packaging),KOR,17.8
Jul 2024,Gross margin,KOR,28.8
Jul 2024,store Labor Cost,KOR,3.9
Jul 2024,Utility Cost,KOR,2.2
Jul 2024,Rent ,KOR,2.4
Jul 2024,CAM,KOR,0.0
Jul 2024,Aggregator commission,KOR,7.2
Jul 2024,Marketing & advertisement,KOR,0.9
Jul 2024,Other opex expenses,KOR,2.1
Jul 2024,Total outlet expenses,KOR,18.5
Jul 2024,Outlet EBITDA,KOR,10.2
Aug 2024,Gross Sales,KOR,47.4
Aug 2024,GST,KOR,0.7
Aug 2024,Net Sales,KOR,46.7
Aug 2024,COGS (food +packaging),KOR,16.5
Aug 2024,Gross margin,KOR,30.2
Aug 2024,store Labor Cost,KOR,4.8
Aug 2024,Utility Cost,KOR,2.3
Aug 2024,Rent ,KOR,2.4
Aug 2024,CAM,KOR,0.0
Aug 2024,Aggregator commission,KOR,7.1
Aug 2024,Marketing & advertisement,KOR,0.4
Aug 2024,Other opex expenses,KOR,2.2
Aug 2024,Total outlet expenses,KOR,19.2
Aug 2024,Outlet EBITDA,KOR,11.0
May 2025,Gross Sales,KOR,60.0
May 2025,GST,KOR,0.8
May 2025,Net Sales,KOR,59.3
May 2025,COGS (food +packaging),KOR,19.9
May 2025,Gross margin,KOR,39.4
May 2025,store Labor Cost,KOR,5.7
May 2025,Utility Cost,KOR,2.7
May 2025,Rent ,KOR,2.6
May 2025,CAM,KOR,0.0
May 2025,Aggregator commission,KOR,9.3
May 2025,Marketing & advertisement,KOR,1.2
May 2025,Other opex expenses,KOR,2.3
May 2025,Total outlet expenses,KOR,23.9
May 2025,Outlet EBITDA,KOR,15.5
Apr 2024,GST,INB,0.0
Apr 2024,COGS (food +packaging),INB,0.0
Apr 2024,Gross margin,INB,0.0
Apr 2024,store Labor Cost,INB,0.0
Apr 2024,Utility Cost,INB,0.0
Apr 2024,Rent ,INB,0.0
Apr 2024,CAM,INB,0.0
Apr 2024,Aggregator commission,INB,0.0
Apr 2024,Other opex expenses,INB,0.0
Apr 2024,Total outlet expenses,INB,0.0
Apr 2024,Outlet EBITDA,INB,0.0
May 2024,GST,INB,0.0
May 2024,COGS (food +packaging),INB,0.0
May 2024,Gross margin,INB,0.0
May 2024,store Labor Cost,INB,0.0
May 2024,Utility Cost,INB,0.0
May 2024,Rent ,INB,0.0
May 2024,CAM,INB,0.0
May 2024,Aggregator commission,INB,0.0
May 2024,Other opex expenses,INB,0.0
May 2024,Total outlet expenses,INB,0.0
May 2024,Outlet EBITDA,INB,0.0
Jun 2024,GST,INB,0.0
Jun 2024,COGS (food +packaging),INB,0.0
Jun 2024,Gross margin,INB,0.0
Jun 2024,store Labor Cost,INB,0.0
Jun 2024,Utility Cost,INB,0.0
Jun 2024,Rent ,INB,0.0
Jun 2024,CAM,INB,0.0
Jun 2024,Aggregator commission,INB,0.0
Jun 2024,Other opex expenses,INB,0.0
Jun 2024,Total outlet expenses,INB,0.0
Jun 2024,Outlet EBITDA,INB,0.0
Jul 2024,GST,INB,0.0
Jul 2024,COGS (food +packaging),INB,0.0
Jul 2024,Gross margin,INB,0.0
Jul 2024,store Labor Cost,INB,0.0
Jul 2024,Utility Cost,INB,0.0
Jul 2024,Rent ,INB,0.0
Jul 2024,CAM,INB,0.0
Jul 2024,Aggregator commission,INB,0.0
Jul 2024,Other opex expenses,INB,0.0
Jul 2024,Total outlet expenses,INB,0.0
Jul 2024,Outlet EBITDA,INB,0.0
Aug 2024,GST,INB,0.0
Aug 2024,COGS (food +packaging),INB,0.0
Aug 2024,Gross margin,INB,0.0
Aug 2024,store Labor Cost,INB,0.0
Aug 2024,Utility Cost,INB,0.0
Aug 2024,Rent ,INB,0.0
Aug 2024,CAM,INB,0.0
Aug 2024,Aggregator commission,INB,0.0
Aug 2024,Other opex expenses,INB,0.0
Aug 2024,Total outlet expenses,INB,0.0
Aug 2024,Outlet EBITDA,INB,0.0
May 2025,Gross Sales,INB,0.0
May 2025,GST,INB,0.0
May 2025,Net Sales,INB,0.0
May 2025,COGS (food +packaging),INB,0.0
May 2025,Gross margin,INB,0.0
May 2025,store Labor Cost,INB,0.0
May 2025,Utility Cost,INB,0.0
May 2025,Rent ,INB,0.0
May 2025,CAM,INB,0.0
May 2025,Aggregator commission,INB,0.0
May 2025,Marketing & advertisement,INB,0.0
May 2025,Other opex expenses,INB,0.0
May 2025,Total outlet expenses,INB,0.0
May 2025,Outlet EBITDA,INB,0.0
Apr 2024,Gross Sales,DIV,21.9
Apr 2024,GST,DIV,0.5
Apr 2024,Net Sales,DIV,21.4
Apr 2024,COGS (food +packaging),DIV,7.8
Apr 2024,Gross margin,DIV,13.6
Apr 2024,store Labor Cost,DIV,3.0
Apr 2024,Utility Cost,DIV,1.5
Apr 2024,Rent ,DIV,2.5
Apr 2024,CAM,DIV,0.2
Apr 2024,Aggregator commission,DIV,2.5
Apr 2024,Marketing & advertisement,DIV,0.0
Apr 2024,Other opex expenses,DIV,1.1
Apr 2024,Total outlet expenses,DIV,10.8
Apr 2024,Outlet EBITDA,DIV,2.7
May 2024,Gross Sales,DIV,24.3
May 2024,GST,DIV,0.5
May 2024,Net Sales,DIV,23.8
May 2024,COGS (food +packaging),DIV,8.7
May 2024,Gross margin,DIV,15.1
May 2024,store Labor Cost,DIV,3.5
May 2024,Utility Cost,DIV,1.5
May 2024,Rent ,DIV,2.8
May 2024,CAM,DIV,0.2
May 2024,Aggregator commission,DIV,3.0
May 2024,Marketing & advertisement,DIV,0.3
May 2024,Other opex expenses,DIV,1.6
May 2024,Total outlet expenses,DIV,12.9
May 2024,Outlet EBITDA,DIV,2.2
Jun 2024,Gross Sales,DIV,22.9
Jun 2024,GST,DIV,0.4
Jun 2024,Net Sales,DIV,22.5
Jun 2024,COGS (food +packaging),DIV,8.2
Jun 2024,Gross margin,DIV,14.3
Jun 2024,store Labor Cost,DIV,3.5
Jun 2024,Utility Cost,DIV,1.3
Jun 2024,Rent ,DIV,2.7
Jun 2024,CAM,DIV,0.2
Jun 2024,Aggregator commission,DIV,3.2
Jun 2024,Marketing & advertisement,DIV,0.3
Jun 2024,Other opex expenses,DIV,1.2
Jun 2024,Total outlet expenses,DIV,12.3
Jun 2024,Outlet EBITDA,DIV,2.0
Jul 2024,Gross Sales,DIV,21.2
Jul 2024,GST,DIV,0.5
Jul 2024,Net Sales,DIV,20.7
Jul 2024,COGS (food +packaging),DIV,7.3
Jul 2024,Gross margin,DIV,13.4
Jul 2024,store Labor Cost,DIV,4.6
Jul 2024,Utility Cost,DIV,1.4
Jul 2024,Rent ,DIV,2.4
Jul 2024,CAM,DIV,0.2
Jul 2024,Aggregator commission,DIV,2.5
Jul 2024,Marketing & advertisement,DIV,0.3
Jul 2024,Other opex expenses,DIV,1.4
Jul 2024,Total outlet expenses,DIV,12.8
Jul 2024,Outlet EBITDA,DIV,0.6
Aug 2024,Gross Sales,DIV,18.5
Aug 2024,GST,DIV,0.4
Aug 2024,Net Sales,DIV,18.1
Aug 2024,COGS (food +packaging),DIV,6.3
Aug 2024,Gross margin,DIV,11.8
Aug 2024,store Labor Cost,DIV,3.9
Aug 2024,Utility Cost,DIV,1.4
Aug 2024,Rent ,DIV,2.1
Aug 2024,CAM,DIV,0.2
Aug 2024,Aggregator commission,DIV,2.3
Aug 2024,Marketing & advertisement,DIV,0.3
Aug 2024,Other opex expenses,DIV,1.0
Aug 2024,Total outlet expenses,DIV,11.2
Aug 2024,Outlet EBITDA,DIV,0.6
May 2025,Gross Sales,DIV,20.5
May 2025,GST,DIV,0.5
May 2025,Net Sales,DIV,20.0
May 2025,COGS (food +packaging),DIV,6.7
May 2025,Gross margin,DIV,13.2
May 2025,store Labor Cost,DIV,3.5
May 2025,Utility Cost,DIV,1.0
May 2025,Rent ,DIV,2.1
May 2025,CAM,DIV,0.2
May 2025,Aggregator commission,DIV,2.1
May 2025,Marketing & advertisement,DIV,0.4
May 2025,Other opex expenses,DIV,1.4
May 2025,Total outlet expenses,DIV,10.6
May 2025,Outlet EBITDA,DIV,2.6
Apr 2024,Gross Sales,IND,62.9
Apr 2024,GST,IND,0.7
Apr 2024,Net Sales,IND,62.2
Apr 2024,COGS (food +packaging),IND,22.5
Apr 2024,Gross margin,IND,39.8
Apr 2024,store Labor Cost,IND,5.4
Apr 2024,Utility Cost,IND,2.1
Apr 2024,Rent ,IND,2.5
Apr 2024,CAM,IND,0.0
Apr 2024,Aggregator commission,IND,11.0
Apr 2024,Marketing & advertisement,IND,0.7
Apr 2024,Other opex expenses,IND,1.9
Apr 2024,Total outlet expenses,IND,23.6
Apr 2024,Outlet EBITDA,IND,16.2
May 2024,Gross Sales,IND,68.0
May 2024,GST,IND,0.5
May 2024,Net Sales,IND,67.5
May 2024,COGS (food +packaging),IND,24.5
May 2024,Gross margin,IND,43.0
May 2024,store Labor Cost,IND,5.5
May 2024,Utility Cost,IND,2.2
May 2024,Rent ,IND,2.5
May 2024,CAM,IND,0.0
May 2024,Aggregator commission,IND,13.1
May 2024,Marketing & advertisement,IND,1.5
May 2024,Other opex expenses,IND,2.7
May 2024,Total outlet expenses,IND,27.4
May 2024,Outlet EBITDA,IND,15.6
Jun 2024,Gross Sales,IND,75.2
Jun 2024,GST,IND,0.6
Jun 2024,Net Sales,IND,74.6
Jun 2024,COGS (food +packaging),IND,28.5
Jun 2024,Gross margin,IND,46.1
Jun 2024,store Labor Cost,IND,5.2
Jun 2024,Utility Cost,IND,2.5
Jun 2024,Rent ,IND,2.5
Jun 2024,CAM,IND,0.0
Jun 2024,Aggregator commission,IND,13.0
Jun 2024,Marketing & advertisement,IND,1.7
Jun 2024,Other opex expenses,IND,3.2
Jun 2024,Total outlet expenses,IND,28.0
Jun 2024,Outlet EBITDA,IND,18.1
Jul 2024,Gross Sales,IND,85.4
Jul 2024,GST,IND,0.8
Jul 2024,Net Sales,IND,84.6
Jul 2024,COGS (food +packaging),IND,32.9
Jul 2024,Gross margin,IND,51.7
Jul 2024,store Labor Cost,IND,6.8
Jul 2024,Utility Cost,IND,2.4
Jul 2024,Rent ,IND,2.5
Jul 2024,CAM,IND,0.0
Jul 2024,Aggregator commission,IND,14.1
Jul 2024,Marketing & advertisement,IND,1.8
Jul 2024,Other opex expenses,IND,2.7
Jul 2024,Total outlet expenses,IND,30.4
Jul 2024,Outlet EBITDA,IND,21.3
Aug 2024,Gross Sales,IND,88.4
Aug 2024,GST,IND,0.8
Aug 2024,Net Sales,IND,87.5
Aug 2024,COGS (food +packaging),IND,32.4
Aug 2024,Gross margin,IND,55.1
Aug 2024,store Labor Cost,IND,8.1
Aug 2024,Utility Cost,IND,2.9
Aug 2024,Rent ,IND,2.5
Aug 2024,CAM,IND,0.0
Aug 2024,Aggregator commission,IND,14.4
Aug 2024,Marketing & advertisement,IND,2.2
Aug 2024,Other opex expenses,IND,2.9
Aug 2024,Total outlet expenses,IND,33.0
Aug 2024,Outlet EBITDA,IND,22.1
May 2025,Gross Sales,IND,102.0
May 2025,GST,IND,1.2
May 2025,Net Sales,IND,100.8
May 2025,COGS (food +packaging),IND,36.6
May 2025,Gross margin,IND,64.3
May 2025,store Labor Cost,IND,7.6
May 2025,Utility Cost,IND,3.1
May 2025,Rent ,IND,2.9
May 2025,CAM,IND,0.0
May 2025,Aggregator commission,IND,16.5
May 2025,Marketing & advertisement,IND,1.8
May 2025,Other opex expenses,IND,3.9
May 2025,Total outlet expenses,IND,35.9
May 2025,Outlet EBITDA,IND,28.3
Apr 2024,Gross Sales,BAG,18.9
Apr 2024,GST,BAG,0.7
Apr 2024,Net Sales,BAG,18.2
Apr 2024,COGS (food +packaging),BAG,6.8
Apr 2024,Gross margin,BAG,11.4
Apr 2024,store Labor Cost,BAG,2.9
Apr 2024,Utility Cost,BAG,0.7
Apr 2024,Rent ,BAG,2.2
Apr 2024,CAM,BAG,0.3
Apr 2024,Aggregator commission,BAG,1.0
Apr 2024,Marketing & advertisement,BAG,0.0
Apr 2024,Other opex expenses,BAG,0.9
Apr 2024,Total outlet expenses,BAG,8.0
Apr 2024,Outlet EBITDA,BAG,3.5
May 2024,Gross Sales,BAG,19.7
May 2024,GST,BAG,0.7
May 2024,Net Sales,BAG,19.0
May 2024,COGS (food +packaging),BAG,7.3
May 2024,Gross margin,BAG,11.7
May 2024,store Labor Cost,BAG,2.8
May 2024,Utility Cost,BAG,0.6
May 2024,Rent ,BAG,2.2
May 2024,CAM,BAG,0.3
May 2024,Aggregator commission,BAG,1.1
May 2024,Marketing & advertisement,BAG,0.1
May 2024,Other opex expenses,BAG,0.9
May 2024,Total outlet expenses,BAG,8.0
May 2024,Outlet EBITDA,BAG,3.7
Jun 2024,Gross Sales,BAG,15.8
Jun 2024,GST,BAG,0.6
Jun 2024,Net Sales,BAG,15.3
Jun 2024,COGS (food +packaging),BAG,6.2
Jun 2024,Gross margin,BAG,9.0
Jun 2024,store Labor Cost,BAG,2.4
Jun 2024,Utility Cost,BAG,0.5
Jun 2024,Rent ,BAG,1.8
Jun 2024,CAM,BAG,0.3
Jun 2024,Aggregator commission,BAG,0.9
Jun 2024,Marketing & advertisement,BAG,0.0
Jun 2024,Other opex expenses,BAG,0.9
Jun 2024,Total outlet expenses,BAG,6.9
Jun 2024,Outlet EBITDA,BAG,2.1
Jul 2024,Gross Sales,BAG,14.5
Jul 2024,GST,BAG,0.5
Jul 2024,Net Sales,BAG,14.0
Jul 2024,COGS (food +packaging),BAG,5.4
Jul 2024,Gross margin,BAG,8.6
Jul 2024,store Labor Cost,BAG,3.1
Jul 2024,Utility Cost,BAG,0.6
Jul 2024,Rent ,BAG,1.7
Jul 2024,CAM,BAG,0.3
Jul 2024,Aggregator commission,BAG,0.8
Jul 2024,Marketing & advertisement,BAG,0.1
Jul 2024,Other opex expenses,BAG,1.0
Jul 2024,Total outlet expenses,BAG,7.5
Jul 2024,Outlet EBITDA,BAG,1.1
Aug 2024,Gross Sales,BAG,14.5
Aug 2024,GST,BAG,0.5
Aug 2024,Net Sales,BAG,14.0
Aug 2024,COGS (food +packaging),BAG,5.6
Aug 2024,Gross margin,BAG,8.4
Aug 2024,store Labor Cost,BAG,3.5
Aug 2024,Utility Cost,BAG,0.6
Aug 2024,Rent ,BAG,1.7
Aug 2024,CAM,BAG,0.4
Aug 2024,Aggregator commission,BAG,1.0
Aug 2024,Marketing & advertisement,BAG,0.3
Aug 2024,Other opex expenses,BAG,1.0
Aug 2024,Total outlet expenses,BAG,8.4
Aug 2024,Outlet EBITDA,BAG,0.0
May 2025,Gross Sales,BAG,12.2
May 2025,GST,BAG,0.6
May 2025,Net Sales,BAG,11.6
May 2025,COGS (food +packaging),BAG,4.3
